age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
30,DF,32,2831,2,3,2,1.3,1.3,25,122,0.06,0.1,26,17,33,119,1708,87.8,5,3,100.0,16,0.1,0.13,0.54,0.13,54.8,61.3,18,12,1,212,3,0,0.0,0,0.0,0,0.0,0.0,7000000.0,Álvaro González,2020-2021,17086679.363344446,7000000.0,10086679.363344446,144.09541947634924
22,FW,29,1814,7,3,7,3.6,3.6,69,82,0.35,0.15,22,10,17,3,649,74.3,38,45,64.4,47,1.04,0.15,4.07,0.55,41.7,27.6,0,18,1,4,31,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Josip Brekalo,2020-2021,22076221.922151193,12000000.0,10076221.922151193,83.9685160179266
25,DF,36,3135,2,0,2,1.2,1.2,13,72,0.06,0.0,33,18,43,163,1474,86.5,3,2,100.0,18,0.11,0.11,0.34,0.06,51.8,45.0,42,12,1,414,3,0,0.0,0,0.0,0,0.0,0.0,3000000.0,Sebastiano Luperto,2022-2023,13027303.033471907,3000000.0,10027303.033471907,334.24343444906356
25,MF,35,1803,1,3,1,1.9,1.9,27,74,0.05,0.15,51,33,6,26,775,82.7,14,44,52.3,22,0.2,0.05,2.52,0.4,64.6,63.4,10,22,1,46,28,0,0.0,0,0.0,0,0.0,0.0,3000000.0,Gonzalo Villar,2023-2024,12969806.57315471,3000000.0,9969806.57315471,332.32688577182364
26,MF,29,1853,7,1,7,3.7,3.7,32,112,0.34,0.05,24,15,18,22,920,88.1,21,23,60.9,27,0.44,0.26,2.38,0.19,44.0,25.6,5,9,1,38,11,0,0.0,0,0.0,0,0.0,0.0,4500000.0,Gonzalo Melero,2020-2021,14443059.343747042,4500000.0,9943059.343747042,220.9568743054898
26,FW,29,1648,3,3,3,2.5,2.5,92,109,0.16,0.16,38,30,12,7,718,72.5,35,72,62.5,28,0.55,0.11,4.04,0.49,34.6,0.0,2,6,0,10,41,0,0.0,0,0.0,0,0.0,0.0,2000000.0,Nicolas Benezet,2017-2018,11789726.882705268,2000000.0,9789726.882705268,489.4863441352634
28,FW,28,2026,18,6,17,15.6,14.8,52,43,0.8,0.27,7,3,2,11,446,76.1,38,49,46.9,88,1.6,0.19,3.6,0.58,53.1,16.7,7,11,0,14,61,0,0.0,0,0.0,0,0.0,0.0,36000000.0,Duván Zapata,2019-2020,45750459.5643972,36000000.0,9750459.564397201,27.084609901103335
29,MF,37,3250,9,6,9,6.9,6.9,80,199,0.25,0.17,48,26,18,43,1222,81.1,52,56,64.3,61,0.53,0.15,3.05,0.39,37.0,23.4,8,23,0,58,31,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Roberto Soriano,2020-2021,19724022.514597166,10000000.0,9724022.514597166,97.24022514597166
27,DF,33,2927,4,0,4,4.0,4.0,12,81,0.12,0.0,21,11,19,89,1835,91.1,5,6,83.3,22,0.28,0.18,0.65,0.12,60.9,78.9,25,11,0,268,7,0,0.0,0,0.0,0,0.0,0.0,25000000.0,Amir Rrahmani,2021-2022,34704532.932119,25000000.0,9704532.932118997,38.81813172847598
22,FW,35,2890,11,10,10,10.2,9.4,138,101,0.34,0.31,55,34,7,7,803,76.1,57,133,40.6,80,0.9,0.13,4.45,0.9,34.6,34.4,0,27,0,15,40,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Anthony Gordon,2023-2024,69672504.18116032,60000000.0,9672504.181160316,16.12084030193386
